"ID_INE_NUM_Municipi","Nom_Municipi","ID_INE_NUM_Provincia","Nom_Provincia","Nom_Municipi_Provincia","ID_INE_NUM_Municipi_Curt","MD_DATA_CANVI","LON","LAT"
69038,"Guadiana del Caudillo",6,"Badajoz","Guadiana del Caudillo (Badajoz)",6903,2013,"-6.690833","38.930278"
109042,"Tiétar",10,"Cáceres","Tiétar (Cáceres)",10904,2014,"-5.466670","40.016700"
159027,"Oza-Cesuras",15,"Coruña, A","Oza-Cesuras (Coruña, A)",15902,2014,"-8.200000","43.166667"
180652,"Dehesas Viejas",18,"Granada","Dehesas Viejas (Granada)",18065,2015,"-3.551944","37.473611"
189141,"Valderrubio",18,"Granada","Valderrubio (Granada)",18914,2015,"-3.823611","37.234444"
49047,"Balanegra",4,"Almería","Balanegra (Almería)",4904,2016,"-2.908333","36.746667"
109055,"Pueblonuevo de Miramontes",10,"Cáceres","Pueblonuevo de Miramontes (Cáceres)",10905,2016,"-5.378956","40.060472"
189154,"Domingo Pérez de Granada",18,"Granada","Domingo Pérez de Granada (Granada)",18915,2016,"-3.508333","37.497222"
181067,"Játar",18,"Granada","Játar (Granada)",18106,2016,"-3.910000","36.934722"
299039,"Montecorto",29,"Málaga","Montecorto (Málaga)",29903,2016,"-5.296667","36.815278"
299044,"Serrato",29,"Málaga","Serrato (Málaga)",29904,2016,"-4.974444","36.888333"
369026,"Cerdedo-Cotobade",36,"Pontevedra","Cerdedo-Cotobade (Pontevedra)",36902,2017,"-8.481944","42.471944"
119034,"San Martín del Tesorillo",11,"Cádiz","San Martín del Tesorillo (Cádiz)",11903,2019,"-5.320278","36.344167"
149019,"Fuente Carreteros",14,"Córdoba","Fuente Carreteros (Córdoba)",14901,2019,"-5.155000","37.670000"
149024,"Guijarrosa, La",14,"Córdoba","Guijarrosa, La (Córdoba)",14902,2019,"-4.864472","37.637917"
180779,"Fornes",18,"Granada","Fornes (Granada)",18077,2019,"-3.855278","36.954444"
189167,"Torrenueva Costa",18,"Granada","Torrenueva Costa (Granada)",18916,2019,"-3.485833","36.701944"
219026,"Zarza-Perrunal, La",21,"Huelva","Zarza-Perrunal, La (Huelva)",21902,2019,"-6.855889","37.71375"
419043,"Palmar de Troya, El",41,"Sevilla","Palmar de Troya, El (Sevilla)",41904,2019,"-5.806319","37.063281"
